Station,Station,Station,Station,Station,Station,Station,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/25/2021 8:30,88.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/25/2021 8:30,88.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/26/2021 8:30,154
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/26/2021 8:30,154
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/27/2021 8:30,74.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/27/2021 8:30,74.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/28/2021 8:30,54.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/28/2021 8:30,54.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/29/2021 8:30,47.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/29/2021 8:30,47.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/30/2021 8:30,65.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/30/2021 8:30,65.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/31/2021 8:30,132.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/31/2021 8:30,132.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-01-2021 08:30,53.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-01-2021 08:30,53.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-02-2021 08:30,39.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-02-2021 08:30,39.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-03-2021 08:30,73.2
